gene_id gene_name gene_type	269c35f0-a4f7-4e30-a69f-f1f3b7b5dace.tsv_TPM	d820ac02-a30e-437b-b20a-3e92705b7b81.tsv_TPM
ENSG00000161281.11 COX7A1 protein_coding	212.7276	30.2267
ENSG00000161298.18 ZNF382 protein_coding	0.8028	2.0321
ENSG00000161328.11 LRRC56 protein_coding	0.5477	2.4903
ENSG00000161381.14 PLXDC1 protein_coding	7.5598	8.2647
ENSG00000161395.14 PGAP3 protein_coding	11.6931	44.5598
ENSG00000161405.17 IKZF3 protein_coding	1.0466	3.8669
ENSG00000161509.14 GRIN2C protein_coding	0.2016	0.2906
ENSG00000161513.12 FDXR protein_coding	3.4865	14.6955
ENSG00000161526.15 SAP30BP protein_coding	13.6995	36.2697
ENSG00000161533.12 ACOX1 protein_coding	55.1804	65.2686
ENSG00000161542.17 PRPSAP1 protein_coding	15.6736	32.8642
ENSG00000161544.10 CYGB protein_coding	50.9548	9.1526
ENSG00000161547.17 SRSF2 protein_coding	60.9635	104.6696
ENSG00000161551.14 ZNF577 protein_coding	3.1631	4.3119
ENSG00000161558.11 TMEM143 protein_coding	9.1746	2.1811
ENSG00000161594.7 KLHL10 protein_coding	0.4839	0.1931
ENSG00000161610.1 HCRT protein_coding	0.0000	0.2594
ENSG00000161618.10 ALDH16A1 protein_coding	7.0151	37.0437
ENSG00000161634.12 DCD protein_coding	0.5421	0.0000
ENSG00000161638.11 ITGA5 protein_coding	29.0160	127.7626
ENSG00000161640.15 SIGLEC11 protein_coding	0.9273	0.0472
ENSG00000161642.18 ZNF385A protein_coding	37.8825	15.0359
ENSG00000161647.19 MPP3 protein_coding	2.0233	3.3330
ENSG00000161649.13 CD300LG protein_coding	70.6502	0.0105
ENSG00000161652.12 IZUMO2 protein_coding	0.0000	0.0330
ENSG00000161653.11 NAGS protein_coding	1.0538	2.5755
ENSG00000161654.10 LSM12 protein_coding	5.8183	9.2713
ENSG00000161664.7 ASB16 protein_coding	0.5813	0.7150
ENSG00000161671.17 EMC10 protein_coding	7.9381	48.3357
ENSG00000161677.12 JOSD2 protein_coding	15.9479	60.3007
ENSG00000161681.16 SHANK1 protein_coding	0.0371	0.7182
ENSG00000161682.15 FAM171A2 protein_coding	1.8665	7.6730
ENSG00000161692.18 DBF4B protein_coding	1.5561	4.1545
ENSG00000161714.12 PLCD3 protein_coding	13.5873	11.4978
ENSG00000161791.14 FMNL3 protein_coding	7.8829	8.2830
ENSG00000161798.7 AQP5 protein_coding	4.2718	4.1579
ENSG00000161800.13 RACGAP1 protein_coding	6.2295	54.4657
ENSG00000161807.3 OR7G1 protein_coding	0.0000	0.0000
ENSG00000161813.22 LARP4 protein_coding	17.0527	39.4144
ENSG00000161847.14 RAVER1 protein_coding	4.1540	9.2896
ENSG00000161849.3 KRT84 protein_coding	0.0000	0.0239
ENSG00000161850.3 KRT82 protein_coding	0.0000	0.0755
ENSG00000161860.8 SYCE2 protein_coding	0.9387	0.1691
ENSG00000161888.11 SPC24 protein_coding	0.8992	7.9790
ENSG00000161896.12 IP6K3 protein_coding	0.0930	0.1608
ENSG00000161904.12 LEMD2 protein_coding	8.8682	17.0904
ENSG00000161905.13 ALOX15 protein_coding	0.9070	0.5598
ENSG00000161911.11 TREML1 protein_coding	0.0875	0.0673
ENSG00000161914.10 ZNF653 protein_coding	0.9953	3.1175
ENSG00000161920.11 MED11 protein_coding	10.2086	14.0722
ENSG00000161921.17 CXCL16 protein_coding	22.1226	180.2342
ENSG00000161929.15 SCIMP protein_coding	1.0183	0.4227
ENSG00000161940.11 BCL6B protein_coding	16.1824	11.3111
ENSG00000161944.16 ASGR2 protein_coding	0.4171	0.1803
ENSG00000161955.16 TNFSF13 protein_coding	4.6767	4.7572
ENSG00000161956.13 SENP3 protein_coding	5.4803	19.2615
ENSG00000161958.11 FGF11 protein_coding	0.0170	0.7858
ENSG00000161960.16 EIF4A1 protein_coding	0.4744	0.9597
ENSG00000161970.15 RPL26 protein_coding	22.8054	25.8545
ENSG00000161973.11 CCDC42 protein_coding	0.0246	0.0000
ENSG00000161980.6 POLR3K protein_coding	9.2835	29.8464
ENSG00000161981.11 SNRNP25 protein_coding	16.7132	33.8496
ENSG00000161992.6 PRR35 protein_coding	0.0000	0.0000
ENSG00000161996.19 WDR90 protein_coding	2.1606	3.4767
ENSG00000161999.13 JMJD8 protein_coding	10.8173	10.1575
ENSG00000162004.18 CCDC78 protein_coding	0.2295	1.0107
ENSG00000162009.8 SSTR5 protein_coding	0.0635	0.0000
ENSG00000162032.16 SPSB3 protein_coding	0.0279	0.1449
ENSG00000162039.17 MEIOB protein_coding	0.1127	0.1950
ENSG00000162040.7 HS3ST6 protein_coding	0.0000	0.2018
ENSG00000162063.13 CCNF protein_coding	2.5924	12.3770
ENSG00000162065.14 TBC1D24 protein_coding	7.4259	5.3274
ENSG00000162066.16 AMDHD2 protein_coding	2.9731	6.2969
ENSG00000162068.2 NTN3 protein_coding	0.2769	0.0228
ENSG00000162073.14 PAQR4 protein_coding	1.6325	19.8428
ENSG00000162076.13 FLYWCH2 protein_coding	19.4355	81.2571
ENSG00000162078.11 ZG16B protein_coding	6.0885	11.8326
ENSG00000162086.16 ZNF75A protein_coding	3.5847	6.0520
ENSG00000162104.10 ADCY9 protein_coding	8.6881	9.9245
ENSG00000162105.19 SHANK2 protein_coding	1.5261	8.3993
ENSG00000162129.14 CLPB protein_coding	3.5373	5.6488
ENSG00000162139.10 NEU3 protein_coding	3.8697	4.0957
ENSG00000162144.10 CYB561A3 protein_coding	6.8964	4.5119
ENSG00000162148.11 PPP1R32 protein_coding	1.5505	1.2682
ENSG00000162174.12 ASRGL1 protein_coding	1.3964	2.4153
ENSG00000162188.6 GNG3 protein_coding	0.1502	0.9240
ENSG00000162191.14 UBXN1 protein_coding	72.3032	97.4063
ENSG00000162194.12 LBHD1 protein_coding	0.4762	0.3859
ENSG00000162222.14 TTC9C protein_coding	13.1257	21.9712
ENSG00000162227.8 TAF6L protein_coding	4.3479	7.4803
ENSG00000162231.14 NXF1 protein_coding	19.9371	30.2562
ENSG00000162236.13 STX5 protein_coding	33.5670	58.6586
ENSG00000162241.12 SLC25A45 protein_coding	2.2309	1.2514
ENSG00000162244.12 RPL29 protein_coding	527.2121	612.8121
ENSG00000162267.12 ITIH3 protein_coding	0.8989	0.1770
ENSG00000162298.19 SYVN1 protein_coding	32.3003	24.0170
ENSG00000162300.13 ZFPL1 protein_coding	1.4978	3.6782
ENSG00000162302.13 RPS6KA4 protein_coding	14.5481	25.0198
ENSG00000162337.12 LRP5 protein_coding	62.1390	45.1657
ENSG00000162341.18 TPCN2 protein_coding	2.5891	2.3046
ENSG00000162344.4 FGF19 protein_coding	0.0238	0.0274
ENSG00000162365.12 CYP4A22 protein_coding	0.0898	0.0000
ENSG00000162366.8 PDZK1IP1 protein_coding	7.2922	160.4676
ENSG00000162367.11 TAL1 protein_coding	4.5471	0.8141
ENSG00000162368.13 CMPK1 protein_coding	150.2375	150.9711
ENSG00000162373.13 BEND5 protein_coding	4.4845	3.6338
ENSG00000162374.18 ELAVL4 protein_coding	0.1500	0.0358
ENSG00000162377.6 COA7 protein_coding	11.5370	29.1457
ENSG00000162378.13 ZYG11B protein_coding	25.7210	14.6476
ENSG00000162383.13 SLC1A7 protein_coding	5.9872	0.1751
ENSG00000162385.11 MAGOH protein_coding	28.9202	92.2863
ENSG00000162390.18 ACOT11 protein_coding	0.2392	0.9244
ENSG00000162391.12 FAM151A protein_coding	0.2588	0.1990
ENSG00000162396.6 PARS2 protein_coding	5.0321	10.6949
ENSG00000162399.9 BSND protein_coding	0.0000	0.0665
ENSG00000162402.14 USP24 protein_coding	23.9576	19.5465
ENSG00000162408.11 NOL9 protein_coding	8.0694	11.7619
ENSG00000162409.11 PRKAA2 protein_coding	2.4542	1.2258
ENSG00000162413.16 KLHL21 protein_coding	41.2941	26.9468
ENSG00000162415.7 ZSWIM5 protein_coding	1.4979	0.7040
ENSG00000162419.13 GMEB1 protein_coding	5.0198	8.4339
ENSG00000162426.16 SLC45A1 protein_coding	2.4797	2.2645
ENSG00000162433.15 AK4 protein_coding	52.8103	31.5385
ENSG00000162434.13 JAK1 protein_coding	85.2902	47.5824
ENSG00000162437.14 RAVER2 protein_coding	11.2343	9.9626
ENSG00000162438.12 CTRC protein_coding	0.0124	0.1003
ENSG00000162441.12 LZIC protein_coding	25.6650	29.2572
ENSG00000162444.12 RBP7 protein_coding	264.2830	5.8462
ENSG00000162456.10 KNCN protein_coding	0.0000	0.0000
ENSG00000162458.13 FBLIM1 protein_coding	15.7424	60.0327
ENSG00000162460.7 TMEM82 protein_coding	0.0000	0.0000
ENSG00000162461.8 SLC25A34 protein_coding	3.2536	0.4185
ENSG00000162482.5 AKR7A3 protein_coding	1.9587	1.5194
ENSG00000162490.7 DRAXIN protein_coding	0.1410	1.5717
ENSG00000162493.16 PDPN protein_coding	14.6137	22.7201
ENSG00000162494.6 LRRC38 protein_coding	0.2595	0.0230
ENSG00000162496.9 DHRS3 protein_coding	157.7261	25.7497
ENSG00000162510.6 MATN1 protein_coding	0.0188	0.1084
ENSG00000162511.8 LAPTM5 protein_coding	34.6233	47.6850
ENSG00000162512.16 SDC3 protein_coding	35.5830	64.5144
ENSG00000162517.13 PEF1 protein_coding	66.2565	130.5629
ENSG00000162520.15 SYNC protein_coding	4.1851	1.6489
ENSG00000162521.19 RBBP4 protein_coding	22.1052	41.7656
ENSG00000162522.11 KIAA1522 protein_coding	20.9158	194.5338
ENSG00000162526.7 TSSK3 protein_coding	0.2808	0.1889
ENSG00000162542.13 TMCO4 protein_coding	15.9671	29.6000
ENSG00000162543.6 UBXN10 protein_coding	1.7737	1.7942
ENSG00000162545.6 CAMK2N1 protein_coding	29.6821	118.1782
ENSG00000162551.14 ALPL protein_coding	34.6734	27.4424
ENSG00000162552.15 WNT4 protein_coding	0.7909	6.2879
ENSG00000162571.14 TTLL10 protein_coding	0.3788	0.0998
ENSG00000162572.21 SCNN1D protein_coding	1.0535	1.1653
ENSG00000162576.17 MXRA8 protein_coding	133.3554	59.9653
ENSG00000162585.17 FAAP20 protein_coding	3.9797	7.2082
ENSG00000162591.16 MEGF6 protein_coding	11.0511	10.9901
ENSG00000162592.10 CCDC27 protein_coding	0.0000	0.1060
ENSG00000162594.16 IL23R protein_coding	0.0269	0.0311
ENSG00000162595.7 DIRAS3 protein_coding	2.9775	1.4124
ENSG00000162598.13 C1orf87 protein_coding	0.0294	0.0113
ENSG00000162599.17 NFIA protein_coding	8.8914	2.8543
ENSG00000162600.12 OMA1 protein_coding	8.3908	8.1593
ENSG00000162601.11 MYSM1 protein_coding	6.6875	7.1638
ENSG00000162604.12 TM2D1 protein_coding	11.6174	9.2808
ENSG00000162607.13 USP1 protein_coding	28.7417	56.9496
ENSG00000162613.17 FUBP1 protein_coding	25.1635	50.5950
ENSG00000162614.19 NEXN protein_coding	23.2537	5.9726
ENSG00000162616.9 DNAJB4 protein_coding	29.2084	14.8527
ENSG00000162618.15 ADGRL4 protein_coding	54.5752	11.4024
ENSG00000162620.16 LRRIQ3 protein_coding	1.2696	0.2905
ENSG00000162623.16 TYW3 protein_coding	15.8041	9.5121
ENSG00000162624.14 LHX8 protein_coding	0.0435	0.5520
ENSG00000162627.17 SNX7 protein_coding	21.0589	44.2951
ENSG00000162630.6 B3GALT2 protein_coding	0.2317	0.0281
ENSG00000162631.19 NTNG1 protein_coding	0.4972	0.0601
ENSG00000162636.16 FAM102B protein_coding	9.1536	12.6046
ENSG00000162639.16 HENMT1 protein_coding	8.4184	30.4185
ENSG00000162641.20 AKNAD1 protein_coding	0.2147	0.0495
ENSG00000162642.14 C1orf52 protein_coding	10.0961	13.4805
ENSG00000162645.13 GBP2 protein_coding	52.9318	20.0051
ENSG00000162650.16 ATXN7L2 protein_coding	1.0338	4.3582
ENSG00000162654.9 GBP4 protein_coding	26.7675	4.8343
ENSG00000162664.17 ZNF326 protein_coding	6.3242	6.0348
ENSG00000162669.16 HFM1 protein_coding	0.2530	0.1631
ENSG00000162670.11 BRINP3 protein_coding	0.0911	0.0350
ENSG00000162676.12 GFI1 protein_coding	0.4012	0.1772
ENSG00000162687.19 KCNT2 protein_coding	0.9024	0.7701
ENSG00000162688.17 AGL protein_coding	23.1278	10.9737
ENSG00000162692.12 VCAM1 protein_coding	17.4107	10.3519
ENSG00000162694.14 EXTL2 protein_coding	13.8159	7.8789
ENSG00000162695.12 SLC30A7 protein_coding	9.0463	13.9881
ENSG00000162702.8 ZNF281 protein_coding	10.4040	22.1089
ENSG00000162704.16 ARPC5 protein_coding	27.9848	50.2280
ENSG00000162706.13 CADM3 protein_coding	6.4786	0.1167
ENSG00000162711.18 NLRP3 protein_coding	1.6113	0.7663
ENSG00000162714.12 ZNF496 protein_coding	5.6084	17.1940
ENSG00000162722.9 TRIM58 protein_coding	0.7867	0.0193
ENSG00000162723.10 SLAMF9 protein_coding	0.0380	3.8550
ENSG00000162727.3 OR2M5 protein_coding	0.0000	0.0000
ENSG00000162728.5 KCNJ9 protein_coding	0.0103	0.1069
ENSG00000162729.14 IGSF8 protein_coding	29.5138	114.3820
ENSG00000162733.19 DDR2 protein_coding	163.8839	8.4155
ENSG00000162734.13 PEA15 protein_coding	295.5393	486.6196
ENSG00000162735.19 PEX19 protein_coding	136.5894	36.3657
ENSG00000162736.17 NCSTN protein_coding	95.0015	180.5460
ENSG00000162738.6 VANGL2 protein_coding	3.7580	52.8496
ENSG00000162739.14 SLAMF6 protein_coding	1.6703	0.2362
ENSG00000162745.10 OLFML2B protein_coding	33.3990	36.7019
ENSG00000162746.14 FCRLB protein_coding	0.4841	1.4245
ENSG00000162747.12 FCGR3B protein_coding	0.8539	1.3069
ENSG00000162753.13 SLC9C2 protein_coding	0.0591	0.0779
ENSG00000162755.14 KLHDC9 protein_coding	3.4967	3.2780
ENSG00000162757.4 C1orf74 protein_coding	1.2840	2.8122
ENSG00000162761.14 LMX1A protein_coding	1.3131	0.0000
ENSG00000162763.4 LRRC52 protein_coding	0.0315	0.0000
ENSG00000162769.13 FLVCR1 protein_coding	1.9270	6.8216
ENSG00000162771.8 FAM71A protein_coding	0.0000	0.0000
ENSG00000162772.17 ATF3 protein_coding	4.2198	13.9435
ENSG00000162775.16 RBM15 protein_coding	4.4937	9.6799
ENSG00000162777.17 DENND2D protein_coding	14.1206	9.5277
ENSG00000162779.22 AXDND1 protein_coding	0.0355	0.0328
ENSG00000162782.16 TDRD5 protein_coding	0.7934	6.3681
ENSG00000162783.11 IER5 protein_coding	12.0404	13.0766
ENSG00000162804.14 SNED1 protein_coding	10.1657	2.4854
ENSG00000162813.18 BPNT1 protein_coding	19.4037	32.8735
ENSG00000162814.11 SPATA17 protein_coding	0.3520	0.2987
ENSG00000162817.7 C1orf115 protein_coding	159.2023	11.6325
ENSG00000162819.12 BROX protein_coding	28.7592	30.3380
ENSG00000162825.16 NBPF20 protein_coding	0.2437	0.4019
ENSG00000162836.12 ACP6 protein_coding	2.7131	3.5197
ENSG00000162843.17 WDR64 protein_coding	0.0350	0.0303
ENSG00000162849.16 KIF26B protein_coding	0.3364	7.2086
ENSG00000162851.8 TFB2M protein_coding	20.6644	60.0199
ENSG00000162852.14 CNST protein_coding	12.7262	18.2577
ENSG00000162869.16 PPP1R21 protein_coding	21.1151	22.9883
ENSG00000162873.15 KLHDC8A protein_coding	0.0708	3.4298
ENSG00000162877.13 PM20D1 protein_coding	1.3092	0.0382
ENSG00000162878.13 PKDCC protein_coding	23.8959	3.7871
ENSG00000162881.6 OXER1 protein_coding	1.6763	0.5323
ENSG00000162882.15 HAAO protein_coding	7.0792	1.8670
ENSG00000162885.14 B3GALNT2 protein_coding	3.8517	10.4315
ENSG00000162889.11 MAPKAPK2 protein_coding	54.1375	96.6192
ENSG00000162891.10 IL20 protein_coding	0.6075	0.2866
ENSG00000162892.16 IL24 protein_coding	0.0219	0.0756
ENSG00000162896.6 PIGR protein_coding	42.0221	0.2739
ENSG00000162897.16 FCAMR protein_coding	0.0122	0.0845
ENSG00000162909.18 CAPN2 protein_coding	91.2810	82.6107
ENSG00000162910.19 MRPL55 protein_coding	22.1852	46.4297
ENSG00000162923.17 WDR26 protein_coding	30.0780	25.9012
ENSG00000162924.15 REL protein_coding	1.3928	2.6895
ENSG00000162927.14 PUS10 protein_coding	3.0030	5.1976
ENSG00000162928.9 PEX13 protein_coding	11.2309	30.3678
ENSG00000162929.14 KIAA1841 protein_coding	3.3621	6.4242
ENSG00000162931.12 TRIM17 protein_coding	0.3653	5.1258
ENSG00000162944.11 RFTN2 protein_coding	8.3452	1.3562
ENSG00000162946.23 DISC1 protein_coding	1.5392	10.5571
ENSG00000162949.16 CAPN13 protein_coding	1.3003	4.4407
ENSG00000162951.11 LRRTM1 protein_coding	0.0257	0.0000
ENSG00000162959.13 MEMO1 protein_coding	0.7792	1.1183
ENSG00000162961.14 DPY30 protein_coding	18.2286	33.3978
ENSG00000162971.11 TYW5 protein_coding	1.7333	2.3009
ENSG00000162975.5 KCNF1 protein_coding	0.1699	3.7226
ENSG00000162980.17 ARL5A protein_coding	14.9231	14.4022
ENSG00000162989.5 KCNJ3 protein_coding	0.5555	0.0000
ENSG00000162992.4 NEUROD1 protein_coding	0.0000	0.0000
ENSG00000162994.16 CLHC1 protein_coding	0.7361	1.5550
ENSG00000162998.5 FRZB protein_coding	9.3036	11.5230
ENSG00000162999.13 DUSP19 protein_coding	2.3087	0.5195
ENSG00000163001.12 CFAP36 protein_coding	26.3294	28.2955
ENSG00000163002.13 NUP35 protein_coding	5.1063	11.4790
ENSG00000163006.12 CCDC138 protein_coding	0.7540	5.7247
ENSG00000163012.4 ZSWIM2 protein_coding	0.0941	0.0000
ENSG00000163013.12 FBXO41 protein_coding	1.1115	10.0249
ENSG00000163017.14 ACTG2 protein_coding	118.6807	28.7510
ENSG00000163029.16 SMC6 protein_coding	7.2233	13.4795
ENSG00000163032.12 VSNL1 protein_coding	1.9066	1.8299
ENSG00000163040.15 CCDC74A protein_coding	1.9406	4.8809
ENSG00000163053.11 SLC16A14 protein_coding	5.1674	1.8412
ENSG00000163060.8 TEKT4 protein_coding	0.2149	0.0451
ENSG00000163064.7 EN1 protein_coding	3.2270	5.5556
ENSG00000163069.13 SGCB protein_coding	75.2990	23.8486
ENSG00000163071.11 SPATA18 protein_coding	9.7149	1.8053
ENSG00000163072.16 NOSTRIN protein_coding	20.3896	2.7762
ENSG00000163075.13 CFAP221 protein_coding	0.1479	0.2894
ENSG00000163081.4 CCDC140 lncRNA	0.0672	0.0258
ENSG00000163082.10 SGPP2 protein_coding	0.7728	6.1481
ENSG00000163083.6 INHBB protein_coding	43.4716	27.8735
ENSG00000163092.21 XIRP2 protein_coding	0.0032	0.0000
ENSG00000163093.12 BBS5 protein_coding	2.3089	1.9236
ENSG00000163098.6 BIRC8 transcribed_processed_pseudogene	0.0000	0.0000
ENSG00000163104.18 SMARCAD1 protein_coding	13.9615	11.6815
ENSG00000163106.11 HPGDS protein_coding	5.7392	0.1891
ENSG00000163110.15 PDLIM5 protein_coding	29.6212	32.7042
ENSG00000163114.6 PDHA2 protein_coding	0.0000	0.0000
ENSG00000163116.10 STPG2 protein_coding	0.0071	0.0164
ENSG00000163121.10 NEURL3 protein_coding	0.6766	1.4004
ENSG00000163125.15 RPRD2 protein_coding	23.6698	34.3809
ENSG00000163126.15 ANKRD23 protein_coding	0.2742	0.4864
ENSG00000163131.11 CTSS protein_coding	50.6560	69.2235
ENSG00000163132.8 MSX1 protein_coding	19.6863	2.8229
ENSG00000163138.19 PACRGL protein_coding	3.0907	3.1215
ENSG00000163141.20 BNIPL protein_coding	1.8289	1.6243
ENSG00000163145.13 C1QTNF7 protein_coding	21.5697	0.0747
ENSG00000163154.6 TNFAIP8L2 protein_coding	6.4268	1.2926
ENSG00000163155.12 LYSMD1 protein_coding	10.7483	20.4515
ENSG00000163156.12 SCNM1 protein_coding	12.2490	45.4164
ENSG00000163157.15 TMOD4 protein_coding	0.7513	0.3790
ENSG00000163159.14 VPS72 protein_coding	40.1820	145.0609
ENSG00000163161.14 ERCC3 protein_coding	13.6361	20.2440
ENSG00000163162.9 RNF149 protein_coding	16.0614	40.0774
ENSG00000163166.15 IWS1 protein_coding	25.3186	56.1654
ENSG00000163170.12 BOLA3 protein_coding	2.5353	7.1627
ENSG00000163171.8 CDC42EP3 protein_coding	10.3222	21.3322
ENSG00000163191.6 S100A11 protein_coding	702.3733	6851.8074
ENSG00000163202.5 LCE3D protein_coding	0.0000	0.0000
ENSG00000163206.6 SMCP protein_coding	0.0000	0.1944
ENSG00000163207.7 IVL protein_coding	0.0201	1.9940
ENSG00000163209.15 SPRR3 protein_coding	0.0000	0.3809
ENSG00000163214.21 DHX57 protein_coding	8.5129	13.7283
ENSG00000163216.7 SPRR2D protein_coding	0.0000	0.3794
ENSG00000163217.2 BMP10 protein_coding	0.0072	0.0000
ENSG00000163218.15 PGLYRP4 protein_coding	0.0190	0.7463
ENSG00000163219.12 ARHGAP25 protein_coding	6.5662	2.4237
ENSG00000163220.11 S100A9 protein_coding	68.1885	2553.3704
ENSG00000163221.9 S100A12 protein_coding	1.1598	0.2058
ENSG00000163235.16 TGFA protein_coding	1.9712	21.5127
ENSG00000163239.12 TDRD10 protein_coding	2.9901	0.1106
ENSG00000163249.13 CCNYL1 protein_coding	10.2956	10.6426
ENSG00000163251.4 FZD5 protein_coding	10.8311	3.2040
ENSG00000163254.5 CRYGC protein_coding	0.0000	0.0000
ENSG00000163257.11 DCAF16 protein_coding	16.1451	10.4639
ENSG00000163263.7 C1orf189 protein_coding	0.0642	0.7403
ENSG00000163273.4 NPPC protein_coding	0.2013	1.1604
ENSG00000163281.12 GNPDA2 protein_coding	8.3888	3.9689
ENSG00000163283.7 ALPP protein_coding	0.0000	0.1043
ENSG00000163285.8 GABRG1 protein_coding	0.1217	0.0000
ENSG00000163288.14 GABRB1 protein_coding	0.0147	0.0000
ENSG00000163291.14 PAQR3 protein_coding	2.7630	2.8361
ENSG00000163293.12 NIPAL1 protein_coding	0.7232	2.0265
ENSG00000163295.5 ALPI protein_coding	0.0000	0.0000
ENSG00000163297.17 ANTXR2 protein_coding	65.1760	8.6233
ENSG00000163312.11 HELQ protein_coding	9.3019	3.6830
ENSG00000163319.11 MRPS18C protein_coding	2.2764	2.2456
ENSG00000163320.12 CGGBP1 protein_coding	49.5656	35.0921
ENSG00000163328.14 GPR155 protein_coding	6.2044	1.7340
ENSG00000163331.12 DAPL1 protein_coding	0.3592	0.4895
ENSG00000163344.6 PMVK protein_coding	68.5742	226.1225
ENSG00000163346.17 PBXIP1 protein_coding	110.6616	175.6508
ENSG00000163347.6 CLDN1 protein_coding	2.6357	70.2083
ENSG00000163348.4 PYGO2 protein_coding	31.0347	77.3759
ENSG00000163349.22 HIPK1 protein_coding	31.0471	23.4259
ENSG00000163352.5 LENEP protein_coding	0.0000	0.1367
ENSG00000163354.15 DCST2 protein_coding	0.7045	2.1771
ENSG00000163357.11 DCST1 protein_coding	0.1897	1.1407
ENSG00000163359.16 COL6A3 protein_coding	243.6476	211.3138
ENSG00000163374.19 YY1AP1 protein_coding	17.7887	36.8753
ENSG00000163376.11 KBTBD8 protein_coding	0.6213	0.8955
ENSG00000163378.14 EOGT protein_coding	21.8241	11.2718
ENSG00000163380.16 LMOD3 protein_coding	0.3831	0.1865
ENSG00000163389.12 POGLUT1 protein_coding	5.3169	3.9016
ENSG00000163393.13 SLC22A15 protein_coding	0.9102	3.5930
ENSG00000163394.6 CCKAR protein_coding	0.2230	0.0286
ENSG00000163395.17 IGFN1 protein_coding	0.0964	0.0082
ENSG00000163399.16 ATP1A1 protein_coding	42.6983	113.8193
ENSG00000163406.11 SLC15A2 protein_coding	1.0991	7.2041
ENSG00000163412.13 EIF4E3 protein_coding	23.5722	3.3978
ENSG00000163421.9 PROK2 protein_coding	0.1610	0.0928
ENSG00000163428.4 LRRC58 protein_coding	24.3997	24.6515
ENSG00000163430.12 FSTL1 protein_coding	400.0823	101.2462
ENSG00000163431.13 LMOD1 protein_coding	52.4094	16.4138
ENSG00000163435.16 ELF3 protein_coding	4.3173	85.7164
ENSG00000163440.12 PDCL2 protein_coding	0.0000	0.0000
ENSG00000163444.12 TMEM183A protein_coding	17.9913	30.1868
ENSG00000163449.11 TMEM169 protein_coding	2.0752	0.7564
ENSG00000163453.11 IGFBP7 protein_coding	233.4515	353.1970
ENSG00000163462.18 TRIM46 protein_coding	0.2386	7.0446
ENSG00000163463.13 KRTCAP2 protein_coding	1.0891	4.1994
ENSG00000163464.8 CXCR1 protein_coding	0.7742	0.1420
ENSG00000163466.16 ARPC2 protein_coding	73.3749	117.7040
ENSG00000163467.12 TSACC protein_coding	0.2328	8.3681
ENSG00000163468.15 CCT3 protein_coding	94.5448	906.5354
ENSG00000163472.19 TMEM79 protein_coding	3.9673	40.1532
ENSG00000163479.14 SSR2 protein_coding	39.2438	241.8005
ENSG00000163481.8 RNF25 protein_coding	15.5090	21.4820
ENSG00000163482.12 STK36 protein_coding	6.3403	4.9545
ENSG00000163485.17 ADORA1 protein_coding	8.6724	8.5957
ENSG00000163491.16 NEK10 protein_coding	1.8334	0.1562
ENSG00000163492.15 CCDC141 protein_coding	0.3950	0.0000
ENSG00000163497.3 FEV protein_coding	0.0000	0.0000
ENSG00000163499.12 CRYBA2 protein_coding	0.0000	0.1372
ENSG00000163501.7 IHH protein_coding	0.0175	0.0000
ENSG00000163508.13 EOMES protein_coding	0.5562	0.6005
ENSG00000163510.14 CWC22 protein_coding	23.8692	27.1989
ENSG00000163512.14 AZI2 protein_coding	12.6386	4.8129
ENSG00000163513.19 TGFBR2 protein_coding	287.4144	22.0341
ENSG00000163515.6 RETNLB protein_coding	0.0000	0.0000
ENSG00000163516.14 ANKZF1 protein_coding	8.0966	31.6148
ENSG00000163517.15 HDAC11 protein_coding	8.8590	14.8417
ENSG00000163518.11 FCRL4 protein_coding	0.0000	0.2185
ENSG00000163519.14 TRAT1 protein_coding	0.4404	0.0406
ENSG00000163520.14 FBLN2 protein_coding	500.7921	70.4935
ENSG00000163521.16 GLB1L protein_coding	10.4787	13.5282
ENSG00000163527.10 STT3B protein_coding	87.4285	84.0128
ENSG00000163528.13 CHCHD4 protein_coding	19.3393	13.3186
ENSG00000163530.4 DPPA2 protein_coding	0.0000	16.6318
ENSG00000163531.15 NFASC protein_coding	3.9972	3.6968
ENSG00000163534.15 FCRL1 protein_coding	0.0438	0.0000
ENSG00000163536.13 SERPINI1 protein_coding	17.8322	6.7293
ENSG00000163539.17 CLASP2 protein_coding	10.4717	6.4411
ENSG00000163541.12 SUCLG1 protein_coding	108.5159	48.8644
ENSG00000163545.11 NUAK2 protein_coding	1.2760	6.3859
ENSG00000163554.15 SPTA1 protein_coding	0.0942	0.0987
ENSG00000163558.13 PRKCI protein_coding	11.4201	36.1478
ENSG00000163563.8 MNDA protein_coding	5.9402	6.3817
ENSG00000163564.15 PYHIN1 protein_coding	1.6269	0.4583
ENSG00000163565.19 IFI16 protein_coding	51.2544	76.5772
ENSG00000163568.15 AIM2 protein_coding	0.8543	2.0768
ENSG00000163576.18 EFHB protein_coding	0.3742	0.2397
ENSG00000163577.8 EIF5A2 protein_coding	4.8962	4.3133
ENSG00000163581.14 SLC2A2 protein_coding	0.0000	0.0000
ENSG00000163584.18 RPL22L1 protein_coding	15.0419	41.5997
ENSG00000163586.10 FABP1 protein_coding	0.0179	0.0000
ENSG00000163590.14 PPM1L protein_coding	11.6571	4.6398
ENSG00000163596.16 ICA1L protein_coding	1.8577	0.1554
ENSG00000163599.17 CTLA4 protein_coding	0.5864	0.1166
ENSG00000163600.13 ICOS protein_coding	0.1974	0.0000
